igr	n_isolates	prevalence	avg_len	is_core_igr
Cluster_19015	1231	1.0		True
Cluster_16481	1231	1.0		True
Cluster_12380	1231	1.0		True
Cluster_23181	1231	1.0		True
Cluster_14598	1231	1.0		True
Cluster_15267	1231	1.0		True
Cluster_24780	1231	1.0		True
Cluster_19044	1231	1.0		True
Cluster_17760	1231	1.0		True
Cluster_15761	1231	1.0		True
Cluster_24085	1231	1.0		True
Cluster_25874	1231	1.0		True
Cluster_12343	1231	1.0		True
Cluster_21632	1231	1.0		True
Cluster_19375	1231	1.0		True
Cluster_18627	1231	1.0		True
Cluster_7685	1231	1.0		True
Cluster_13598	1231	1.0		True
Cluster_23153	1231	1.0		True
Cluster_21809	1231	1.0		True
Cluster_15890	1231	1.0		True
Cluster_24515	1231	1.0		True
Cluster_21864	1231	1.0		True
Cluster_15328	1231	1.0		True
Cluster_25929	1231	1.0		True
Cluster_19466	1231	1.0		True
Cluster_25934	1231	1.0		True
Cluster_14664	1231	1.0		True
Cluster_15037	1231	1.0		True
Cluster_20136	1231	1.0		True
Cluster_23054	1231	1.0		True
Cluster_17281	1231	1.0		True
Cluster_24763	1231	1.0		True
Cluster_11134	1231	1.0		True
Cluster_16315	1231	1.0		True
Cluster_12913	1231	1.0		True
Cluster_21366	1231	1.0		True
Cluster_23412	1231	1.0		True
Cluster_6952	1231	1.0		True
Cluster_17752	1231	1.0		True
Cluster_20456	1231	1.0		True
Cluster_21747	1231	1.0		True
Cluster_20446	1231	1.0		True
Cluster_17458	1231	1.0		True
Cluster_10702	1231	1.0		True
Cluster_19791	1231	1.0		True
Cluster_17194	1231	1.0		True
Cluster_19071	1231	1.0		True
Cluster_25329	1231	1.0		True
Cluster_18255	1231	1.0		True
Cluster_18262	1231	1.0		True
Cluster_22735	1231	1.0		True
Cluster_17368	1231	1.0		True
Cluster_19129	1231	1.0		True
Cluster_16432	1231	1.0		True
Cluster_6579	1231	1.0		True
Cluster_17831	1231	1.0		True
Cluster_24016	1231	1.0		True
Cluster_8992	1230	0.9992		True
Cluster_15662	1230	0.9992		True
Cluster_15826	1230	0.9992		True
Cluster_17348	1230	0.9992		True
Cluster_17873	1230	0.9992		True
Cluster_24434	1230	0.9992		True
Cluster_21171	1230	0.9992		True
Cluster_23127	1230	0.9992		True
Cluster_18278	1230	0.9992		True
Cluster_20392	1230	0.9992		True
Cluster_16953	1230	0.9992		True
Cluster_16127	1230	0.9992		True
Cluster_14844	1230	0.9992		True
Cluster_10730	1230	0.9992		True
Cluster_13801	1230	0.9992		True
Cluster_25330	1230	0.9992		True
Cluster_9801	1230	0.9992		True
Cluster_11767	1230	0.9992		True
Cluster_19214	1230	0.9992		True
Cluster_15502	1230	0.9992		True
Cluster_22584	1230	0.9992		True
Cluster_10918	1230	0.9992		True
Cluster_23097	1230	0.9992		True
Cluster_17929	1230	0.9992		True
Cluster_25116	1230	0.9992		True
Cluster_18700	1230	0.9992		True
Cluster_8241	1230	0.9992		True
Cluster_19151	1230	0.9992		True
Cluster_24179	1230	0.9992		True
Cluster_6655	1230	0.9992		True
Cluster_14859	1230	0.9992		True
Cluster_17619	1230	0.9992		True
Cluster_22818	1230	0.9992		True
Cluster_22023	1230	0.9992		True
Cluster_19530	1230	0.9992		True
Cluster_18145	1230	0.9992		True
Cluster_18084	1230	0.9992		True
Cluster_25933	1230	0.9992		True
Cluster_19785	1230	0.9992		True
Cluster_15579	1230	0.9992		True
Cluster_17041	1230	0.9992		True
Cluster_12511	1230	0.9992		True
Cluster_25397	1230	0.9992		True
Cluster_19039	1230	0.9992		True
Cluster_12131	1230	0.9992		True
Cluster_13719	1230	0.9992		True
Cluster_23891	1230	0.9992		True
Cluster_22906	1230	0.9992		True
Cluster_7794	1230	0.9992		True
Cluster_21059	1230	0.9992		True
Cluster_9631	1230	0.9992		True
Cluster_15444	1230	0.9992		True
Cluster_17688	1230	0.9992		True
Cluster_21420	1230	0.9992		True
Cluster_15454	1230	0.9992		True
Cluster_15606	1230	0.9992		True
Cluster_17109	1230	0.9992		True
Cluster_15499	1230	0.9992		True
Cluster_19659	1230	0.9992		True
Cluster_17869	1230	0.9992		True
Cluster_22819	1230	0.9992		True
Cluster_14224	1230	0.9992		True
Cluster_17255	1230	0.9992		True
Cluster_23302	1230	0.9992		True
Cluster_8628	1230	0.9992		True
Cluster_13940	1230	0.9992		True
Cluster_9168	1230	0.9992		True
Cluster_16388	1230	0.9992		True
Cluster_21413	1230	0.9992		True
Cluster_18586	1230	0.9992		True
Cluster_19601	1230	0.9992		True
Cluster_24345	1230	0.9992		True
Cluster_20078	1230	0.9992		True
Cluster_24822	1230	0.9992		True
Cluster_19929	1230	0.9992		True
Cluster_15235	1230	0.9992		True
Cluster_22908	1230	0.9992		True
Cluster_6197	1230	0.9992		True
Cluster_21136	1230	0.9992		True
Cluster_9561	1230	0.9992		True
Cluster_11568	1230	0.9992		True
Cluster_17120	1230	0.9992		True
Cluster_17187	1230	0.9992		True
Cluster_16905	1230	0.9992		True
Cluster_24569	1230	0.9992		True
Cluster_22022	1230	0.9992		True
Cluster_20517	1230	0.9992		True
Cluster_16090	1230	0.9992		True
Cluster_8864	1230	0.9992		True
Cluster_18325	1230	0.9992		True
Cluster_14277	1230	0.9992		True
Cluster_22266	1230	0.9992		True
Cluster_17812	1230	0.9992		True
Cluster_16864	1230	0.9992		True
Cluster_22745	1230	0.9992		True
Cluster_12560	1230	0.9992		True
Cluster_15540	1230	0.9992		True
Cluster_18141	1230	0.9992		True
Cluster_25548	1230	0.9992		True
Cluster_25932	1230	0.9992		True
Cluster_17841	1230	0.9992		True
Cluster_14806	1230	0.9992		True
Cluster_8073	1229	0.9984		True
Cluster_14310	1229	0.9984		True
Cluster_18457	1229	0.9984		True
Cluster_17515	1229	0.9984		True
Cluster_16834	1229	0.9984		True
Cluster_19804	1229	0.9984		True
Cluster_19778	1229	0.9984		True
Cluster_14481	1229	0.9984		True
Cluster_25945	1229	0.9984		True
Cluster_12465	1229	0.9984		True
Cluster_19532	1229	0.9984		True
Cluster_21748	1229	0.9984		True
Cluster_26031	1229	0.9984		True
Cluster_15508	1229	0.9984		True
Cluster_15289	1229	0.9984		True
Cluster_23561	1229	0.9984		True
Cluster_19224	1229	0.9984		True
Cluster_20685	1229	0.9984		True
Cluster_15902	1229	0.9984		True
Cluster_18085	1229	0.9984		True
Cluster_13500	1229	0.9984		True
Cluster_16155	1229	0.9984		True
Cluster_13856	1229	0.9984		True
Cluster_11799	1229	0.9984		True
Cluster_25708	1229	0.9984		True
Cluster_23154	1229	0.9984		True
Cluster_20541	1229	0.9984		True
Cluster_20138	1229	0.9984		True
Cluster_8434	1229	0.9984		True
Cluster_13427	1229	0.9984		True
Cluster_16232	1229	0.9984		True
Cluster_6485	1229	0.9984		True
Cluster_9917	1229	0.9984		True
Cluster_14923	1229	0.9984		True
Cluster_19359	1229	0.9984		True
Cluster_18439	1229	0.9984		True
Cluster_16980	1229	0.9984		True
Cluster_17975	1229	0.9984		True
Cluster_24038	1229	0.9984		True
Cluster_17514	1229	0.9984		True
Cluster_22658	1229	0.9984		True
Cluster_24516	1229	0.9984		True
Cluster_14501	1229	0.9984		True
Cluster_18844	1229	0.9984		True
Cluster_24295	1229	0.9984		True
Cluster_18295	1229	0.9984		True
Cluster_17513	1229	0.9984		True
Cluster_22317	1229	0.9984		True
Cluster_16568	1229	0.9984		True
Cluster_10374	1229	0.9984		True
Cluster_11939	1229	0.9984		True
Cluster_19600	1229	0.9984		True
Cluster_20953	1229	0.9984		True
Cluster_19577	1229	0.9984		True
Cluster_18506	1229	0.9984		True
Cluster_21289	1229	0.9984		True
Cluster_18906	1229	0.9984		True
Cluster_11756	1229	0.9984		True
Cluster_18323	1229	0.9984		True
Cluster_6549	1229	0.9984		True
Cluster_20065	1229	0.9984		True
Cluster_25770	1229	0.9984		True
Cluster_19557	1229	0.9984		True
Cluster_7972	1229	0.9984		True
Cluster_17236	1229	0.9984		True
Cluster_21058	1229	0.9984		True
Cluster_20502	1229	0.9984		True
Cluster_14584	1229	0.9984		True
Cluster_16893	1229	0.9984		True
Cluster_18451	1229	0.9984		True
Cluster_16610	1229	0.9984		True
Cluster_3318	1229	0.9984		True
Cluster_20137	1229	0.9984		True
Cluster_14226	1229	0.9984		True
Cluster_10934	1229	0.9984		True
Cluster_23889	1229	0.9984		True
Cluster_16906	1229	0.9984		True
Cluster_16117	1228	0.9976		True
Cluster_5693	1228	0.9976		True
Cluster_16156	1228	0.9976		True
Cluster_7482	1228	0.9976		True
