gene	n_isolates	prevalence	single_copy_frac	excluded_reason	is_core_cds
fmtB	1231	1.0	0.8424		False
group_5825	1231	1.0	1.0		True
group_5824	1231	1.0	1.0		True
dabB~~~dabA	1231	1.0	0.0016		False
group_5807	1231	1.0	0.9984		True
group_5806	1231	1.0	1.0		True
group_5805	1231	1.0	0.9992		True
group_5799	1231	1.0	0.9984		True
group_5786	1231	1.0	0.9992	paralog_readval_masked	False
group_5776	1231	1.0	1.0		True
sepF	1231	1.0	1.0		True
yheS	1231	1.0	0.9976		True
group_5769	1231	1.0	0.9976		True
group_5768	1231	1.0	0.987		False
group_5766	1231	1.0	0.9951		True
group_5764	1231	1.0	1.0		True
group_5762	1231	1.0	1.0		True
group_5761	1231	1.0	0.9992		True
group_5760	1231	1.0	1.0		True
group_5757	1231	1.0	1.0		True
group_5756	1231	1.0	0.9959		True
group_5755	1231	1.0	0.9976		True
group_5750	1231	1.0	1.0		True
group_5749	1231	1.0	1.0		True
abrB	1231	1.0	0.9878		False
group_5741	1231	1.0	1.0		True
group_5740	1231	1.0	1.0		True
group_5737	1231	1.0	1.0		True
group_5735	1231	1.0	0.9992		True
group_5734	1231	1.0	0.9992		True
group_5725	1231	1.0	1.0		True
group_5722	1231	1.0	1.0		True
group_5720	1231	1.0	0.9992		True
mnhD2~~~mnhC2	1231	1.0	0.0081		False
group_5716	1231	1.0	0.9951		True
mutS2	1231	1.0	0.9992		True
group_5712	1231	1.0	1.0		True
group_5710	1231	1.0	0.9935		True
group_5709	1231	1.0	0.9992		True
group_5697	1231	1.0	1.0		True
dnaJ	1231	1.0	0.9992		True
group_5695	1231	1.0	0.9992		True
group_5694	1231	1.0	0.9992		True
acuC	1231	1.0	0.9829		False
secA~~~mupA	1231	1.0	0.9992		True
group_5686	1231	1.0	0.9992		True
group_5682	1231	1.0	1.0		True
group_5680	1231	1.0	0.9984		True
group_5674	1231	1.0	0.9992		True
group_5644	1231	1.0	0.9935		True
group_5643	1231	1.0	1.0		True
group_5640	1231	1.0	1.0		True
epsF	1231	1.0	0.9894		False
group_5623	1231	1.0	1.0		True
group_5620	1231	1.0	1.0		True
group_5618	1231	1.0	0.9992		True
group_5616	1231	1.0	0.9984		True
group_5607	1231	1.0	0.9951		True
group_5600	1231	1.0	1.0		True
azlD	1231	1.0	1.0		True
mnhC1	1231	1.0	0.9992		True
ychF	1231	1.0	0.9992		True
group_5582	1231	1.0	1.0		True
group_5581	1231	1.0	1.0		True
group_5575	1231	1.0	0.9976		True
group_5574	1231	1.0	0.9968		True
group_5573	1231	1.0	0.9951		True
group_5565	1231	1.0	0.9992		True
group_5562	1231	1.0	1.0		True
clpB	1231	1.0	0.9984		True
group_5559	1231	1.0	0.9553		False
group_5557	1231	1.0	1.0		True
group_5555	1231	1.0	1.0		True
group_5552	1231	1.0	0.9968		True
fdhD	1231	1.0	1.0		True
group_5544	1231	1.0	1.0		True
group_5543	1231	1.0	1.0		True
group_5542	1231	1.0	1.0		True
group_5539	1231	1.0	0.9984		True
group_5538	1231	1.0	1.0		True
group_5536	1231	1.0	1.0		True
efeB	1231	1.0	0.9618		False
group_5528	1231	1.0	1.0		True
group_5527	1231	1.0	0.9976		True
group_5524	1231	1.0	1.0		True
engB	1231	1.0	1.0		True
group_5520	1231	1.0	0.9976		True
group_5518	1231	1.0	1.0		True
group_5517	1231	1.0	0.9976		True
group_5516	1231	1.0	1.0		True
group_5515	1231	1.0	0.9968		True
isdB	1231	1.0	0.9968		True
group_5508	1231	1.0	0.9992		True
group_5507	1231	1.0	1.0		True
group_5504	1231	1.0	0.9927		True
group_5503	1231	1.0	0.9634		False
group_5502	1231	1.0	0.9919	paralog_readval_masked	False
group_5500	1231	1.0	1.0		True
group_5499	1231	1.0	0.9927	paralog_readval_masked	False
group_5492	1231	1.0	0.9992		True
group_5490	1231	1.0	0.9984		True
group_5488	1231	1.0	1.0		True
sgtB	1231	1.0	0.9894		False
group_5484	1231	1.0	0.9992		True
group_5480	1231	1.0	1.0		True
group_5479	1231	1.0	0.9984		True
group_5478	1231	1.0	1.0		True
group_5476	1231	1.0	1.0		True
group_5475	1231	1.0	0.9927		True
group_5473	1231	1.0	1.0		True
group_5472	1231	1.0	0.9919		True
group_5470	1231	1.0	0.9992		True
group_5469	1231	1.0	0.9992		True
group_5468	1231	1.0	1.0		True
group_5463	1231	1.0	0.9992		True
group_5389	1231	1.0	0.9935		True
group_5376	1231	1.0	1.0		True
group_5360	1231	1.0	1.0		True
sarZ	1231	1.0	0.9992		True
group_5355	1231	1.0	1.0		True
group_5351	1231	1.0	0.9984		True
group_5348	1231	1.0	1.0		True
group_5343	1231	1.0	1.0		True
group_5342	1231	1.0	0.9992		True
group_5339	1231	1.0	1.0		True
isdC	1231	1.0	1.0		True
group_5324	1231	1.0	1.0		True
ftsL	1231	1.0	1.0		True
group_5320	1231	1.0	0.9959		True
sufU	1231	1.0	1.0		True
group_5317	1231	1.0	1.0		True
group_5312	1231	1.0	1.0		True
group_5304	1231	1.0	0.9992		True
purS	1231	1.0	1.0		True
group_5298	1231	1.0	1.0		True
group_5284	1231	1.0	0.9992		True
group_5282	1231	1.0	1.0		True
group_5278	1231	1.0	1.0		True
group_5276	1231	1.0	0.9943		True
group_5275	1231	1.0	1.0		True
group_5271	1231	1.0	1.0		True
group_5270	1231	1.0	0.9903		True
group_5268	1231	1.0	1.0		True
group_5267	1231	1.0	1.0		True
group_5265	1231	1.0	0.9992		True
group_5263	1231	1.0	1.0		True
group_5262	1231	1.0	0.9984		True
sufB	1231	1.0	1.0		True
group_5259	1231	1.0	0.9968		True
group_5256	1231	1.0	1.0		True
group_5254	1231	1.0	0.9935		True
group_5249	1231	1.0	1.0		True
group_5248	1231	1.0	1.0		True
group_5247	1231	1.0	1.0		True
group_5246	1231	1.0	0.9992		True
group_5238	1231	1.0	0.9984		True
ssaA2	1231	1.0	0.9838		False
group_5209	1231	1.0	1.0		True
group_5208	1231	1.0	1.0		True
group_5207	1231	1.0	1.0		True
rbsU	1231	1.0	0.9992		True
group_5198	1231	1.0	1.0		True
group_5197	1231	1.0	0.9992		True
group_5189	1231	1.0	1.0		True
group_5182	1231	1.0	0.9992		True
group_5153	1231	1.0	0.9992		True
group_5142	1231	1.0	0.9764		False
group_5140	1231	1.0	0.9984		True
group_5112	1231	1.0	0.9919		True
group_5111	1231	1.0	0.9903		True
group_5110	1231	1.0	0.9959		True
group_5109	1231	1.0	0.9919		True
bioD	1231	1.0	0.9667		False
group_5106	1231	1.0	0.9984		True
group_5101	1231	1.0	0.9976		True
group_5097	1231	1.0	0.9935		True
terC	1231	1.0	1.0		True
group_5088	1231	1.0	1.0		True
group_5085	1231	1.0	0.9984		True
group_5081	1231	1.0	0.9992		True
group_5075	1231	1.0	1.0		True
group_5074	1231	1.0	0.9968		True
group_5072	1231	1.0	0.9976		True
group_5069	1231	1.0	0.0032		False
group_5067	1231	1.0	1.0		True
group_5064	1231	1.0	0.9992		True
group_5063	1231	1.0	0.9927		True
group_5061	1231	1.0	0.9984		True
group_5056	1231	1.0	0.9935		True
cap8B	1231	1.0	0.9894		False
ureE	1231	1.0	1.0		True
group_5044	1231	1.0	0.9968		True
group_5042	1231	1.0	0.9984		True
group_5035	1231	1.0	1.0		True
argJ	1231	1.0	0.9813		False
group_5030	1231	1.0	0.9781		False
group_5028	1231	1.0	0.9984		True
group_5026	1231	1.0	1.0		True
group_5021	1231	1.0	0.9984		True
group_5020	1231	1.0	0.9992		True
group_5018	1231	1.0	0.9943		True
group_5016	1231	1.0	0.9959		True
group_5015	1231	1.0	0.9976		True
kdpA	1231	1.0	0.9878		False
group_5010	1231	1.0	1.0		True
group_5008	1231	1.0	1.0		True
hssS	1231	1.0	0.9951		True
group_5007	1231	1.0	1.0		True
group_4999	1231	1.0	0.9829		False
group_4995	1231	1.0	1.0		True
group_4992	1231	1.0	1.0	paralog_readval_masked	False
group_4990	1231	1.0	0.9951		True
rsfS	1231	1.0	1.0		True
group_4988	1231	1.0	0.9976		True
group_4984	1231	1.0	1.0		True
group_4976	1231	1.0	0.9935		True
group_4974	1231	1.0	1.0		True
group_4973	1231	1.0	0.9781		False
group_4971	1231	1.0	0.9992		True
codY	1231	1.0	1.0		True
pmtD	1231	1.0	0.9992		True
group_4965	1231	1.0	0.9992		True
yggT	1231	1.0	1.0		True
group_4964	1231	1.0	1.0		True
group_4963	1231	1.0	1.0		True
group_4962	1231	1.0	0.9976		True
group_4959	1231	1.0	0.9968		True
group_4955	1231	1.0	1.0		True
group_4953	1231	1.0	1.0		True
group_4952	1231	1.0	0.9992		True
group_4948	1231	1.0	1.0		True
group_4947	1231	1.0	0.9984		True
group_4945	1231	1.0	0.9968		True
group_4944	1231	1.0	0.9959		True
group_4942	1231	1.0	0.9992		True
group_4941	1231	1.0	1.0		True
group_4940	1231	1.0	0.9976		True
mdeA	1231	1.0	0.9569		False
sdrH	1231	1.0	0.9935		True
group_4938	1231	1.0	1.0	paralog_readval_masked	False
group_4936	1231	1.0	0.9984		True
group_4935	1231	1.0	0.9992		True
group_4934	1231	1.0	1.0		True
kimA	1231	1.0	0.9959		True
group_4929	1231	1.0	1.0		True
group_4928	1231	1.0	0.9976		True
cidA	1231	1.0	1.0		True
group_4927	1231	1.0	0.9959		True
pmtB	1231	1.0	1.0		True
group_4926	1231	1.0	1.0		True
group_4925	1231	1.0	0.9894		False
group_4920	1231	1.0	0.9968		True
group_4917	1231	1.0	0.9959		True
hemW	1231	1.0	1.0		True
dnaK	1231	1.0	0.9976		True
group_4916	1231	1.0	1.0		True
group_4915	1231	1.0	0.9968		True
cvfB	1231	1.0	0.9984		True
group_4914	1231	1.0	0.9992		True
group_4913	1231	1.0	0.9976		True
metP	1231	1.0	1.0		True
group_4912	1231	1.0	0.9992		True
group_4910	1231	1.0	1.0		True
group_4907	1231	1.0	0.9886		False
group_4906	1231	1.0	1.0		True
fakB1	1231	1.0	0.9968	paralog_readval_masked	False
cap8F	1231	1.0	0.9992		True
group_4901	1231	1.0	0.9862		False
group_4900	1231	1.0	1.0		True
gtxA	1231	1.0	1.0		True
group_4897	1231	1.0	0.9984		True
ltaA	1231	1.0	0.9935		True
group_4892	1231	1.0	1.0		True
femB	1231	1.0	0.9992		True
group_4891	1231	1.0	0.9943		True
group_4890	1231	1.0	1.0		True
group_4889	1231	1.0	0.9943		True
group_4888	1231	1.0	1.0		True
group_4886	1231	1.0	1.0		True
group_4885	1231	1.0	1.0		True
group_4883	1231	1.0	1.0		True
group_4882	1231	1.0	1.0		True
fabZ	1231	1.0	1.0		True
group_4881	1231	1.0	0.9862		False
phoP	1231	1.0	0.9992		True
group_4880	1231	1.0	0.9984		True
group_4879	1231	1.0	1.0		True
group_4878	1231	1.0	1.0		True
group_4874	1231	1.0	1.0		True
ftnA	1231	1.0	1.0		True
comA	1231	1.0	0.9992		True
group_4873	1231	1.0	1.0		True
csbB	1231	1.0	0.9984		True
group_4871	1231	1.0	1.0		True
group_4870	1231	1.0	0.9992		True
group_4867	1231	1.0	1.0		True
group_4866	1231	1.0	1.0		True
group_4865	1231	1.0	0.9951		True
group_4864	1231	1.0	0.9992		True
csoR	1231	1.0	1.0		True
group_4860	1231	1.0	1.0		True
group_4859	1231	1.0	0.9968		True
group_4858	1231	1.0	0.9992		True
group_4857	1231	1.0	0.9976		True
group_4856	1231	1.0	1.0		True
group_4855	1231	1.0	1.0		True
group_4853	1231	1.0	1.0		True
group_4848	1231	1.0	1.0		True
group_4847	1231	1.0	1.0		True
nrdH	1231	1.0	0.9992		True
scdA	1231	1.0	1.0		True
ylaF	1231	1.0	1.0		True
group_4843	1231	1.0	0.9984		True
group_4842	1231	1.0	0.9643		False
group_4839	1231	1.0	0.9984	paralog_readval_masked	False
group_4836	1231	1.0	1.0		True
group_4834	1231	1.0	0.9943		True
group_4833	1231	1.0	1.0		True
isdG	1231	1.0	1.0		True
group_4832	1231	1.0	1.0		True
group_4831	1231	1.0	0.9984		True
group_4830	1231	1.0	0.9992		True
group_4829	1231	1.0	1.0		True
yozC	1231	1.0	1.0		True
group_4828	1231	1.0	1.0		True
group_4825	1231	1.0	0.9984		True
group_4823	1231	1.0	0.9976		True
group_4822	1231	1.0	1.0		True
group_4821	1231	1.0	0.9976		True
group_4820	1231	1.0	0.9976		True
ytpR	1231	1.0	0.9992		True
group_4814	1231	1.0	0.9968		True
group_4812	1231	1.0	0.9992		True
phnE~~~phnE2	1231	1.0	1.0		True
group_4809	1231	1.0	1.0		True
group_4808	1231	1.0	0.9976		True
group_4807	1231	1.0	0.9943		True
group_4806	1231	1.0	1.0		True
group_4805	1231	1.0	0.9943		True
group_4803	1231	1.0	1.0		True
gtfB	1231	1.0	0.9903		True
group_4793	1231	1.0	0.9992		True
lysP	1231	1.0	0.9976		True
ftsY	1231	1.0	0.9984		True
group_4786	1231	1.0	1.0		True
greA	1231	1.0	1.0		True
group_4783	1231	1.0	0.9943		True
group_4781	1231	1.0	0.9968		True
group_4780	1231	1.0	0.9927	paralog_readval_masked	False
group_4779	1231	1.0	1.0		True
mnhG2	1231	1.0	1.0		True
group_4773	1231	1.0	0.9992		True
group_4772	1231	1.0	0.9935		True
group_4766	1231	1.0	0.9838		False
group_4765	1231	1.0	0.9968		True
zapA	1231	1.0	1.0	paralog_readval_masked	False
group_4761	1231	1.0	1.0		True
group_4760	1231	1.0	1.0		True
group_4759	1231	1.0	0.9992		True
group_4756	1231	1.0	0.9968		True
group_4755	1231	1.0	1.0		True
group_4751	1231	1.0	0.9805		False
group_4746	1231	1.0	1.0		True
group_4745	1231	1.0	0.9951		True
mgtE	1231	1.0	0.9984		True
sarV	1231	1.0	1.0		True
group_4744	1231	1.0	0.0049		False
group_4739	1231	1.0	1.0		True
group_4737	1231	1.0	0.9992		True
group_4736	1231	1.0	0.9959		True
group_4735	1231	1.0	0.9992		True
group_4734	1231	1.0	0.9992		True
group_4731	1231	1.0	1.0		True
mtaB	1231	1.0	0.9968		True
group_4730	1231	1.0	1.0		True
group_4729	1231	1.0	0.9984		True
group_4728	1231	1.0	0.9992		True
group_4727	1231	1.0	0.9984		True
umuC	1231	1.0	0.9854		False
comF	1231	1.0	0.9968		True
group_4722	1231	1.0	1.0		True
recD2	1231	1.0	0.9992		True
hdeD	1231	1.0	1.0		True
vraE	1231	1.0	0.9984		True
vraD	1231	1.0	0.9976		True
group_4720	1231	1.0	0.9992		True
hflX	1231	1.0	0.9951		True
nikA	1231	1.0	0.9813		False
hptS	1231	1.0	0.9976		True
group_4693	1231	1.0	1.0		True
group_4692	1231	1.0	0.9805		False
group_4653	1231	1.0	1.0		True
group_4650	1231	1.0	1.0		True
group_4645	1231	1.0	1.0		True
group_4644	1231	1.0	0.9992		True
group_4643	1231	1.0	1.0		True
group_4640	1231	1.0	0.9992		True
modA	1231	1.0	0.9992		True
group_4638	1231	1.0	1.0		True
group_4637	1231	1.0	0.9724		False
group_4635	1231	1.0	0.9992		True
group_4634	1231	1.0	1.0		True
secG	1231	1.0	1.0		True
group_4630	1231	1.0	1.0		True
group_4629	1231	1.0	0.9764		False
tet38	1231	1.0	0.9911		True
corA	1231	1.0	0.9968		True
group_4628	1231	1.0	0.9968		True
group_4612	1231	1.0	0.9976		True
